file_name,bbox,image_id,race,age,emotion,gender,skintone,masked
100147591.jpg,"[1146, 481, 241, 281]",1,Negroid,20-30s,Happiness,Male,mid-light,unmasked
100429351.jpg,"[603, 307, 306, 329]",2,Caucasian,40-50s,Neutral,Female,mid-light,unmasked
100473997.jpg,"[702, 253, 308, 517]",3,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
100868012.jpg,"[998, 229, 119, 200]",4,Mongoloid,20-30s,Neutral,Female,light,unmasked
101013830.jpg,"[833, 496, 302, 345]",5,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
101061106.jpg,"[799, 231, 287, 391]",6,Caucasian,20-30s,Happiness,Female,light,unmasked
101347438.jpg,"[835, 237, 246, 195]",7,Caucasian,20-30s,Anger,Female,light,unmasked
101564605.jpg,"[656, 251, 291, 327]",8,Mongoloid,20-30s,Anger,Female,light,unmasked
101954623.jpg,"[1250, 345, 162, 235]",9,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
102320148.jpg,"[909, 221, 225, 367]",10,Mongoloid,20-30s,Neutral,Female,light,unmasked
102495577.jpg,"[1165, 355, 241, 256]",11,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
102800204.jpg,"[1085, 295, 187, 252]",12,Mongoloid,20-30s,Neutral,Female,light,unmasked
102808405.jpg,"[939, 182, 152, 165]",13,Negroid,Senior,Neutral,Female,mid-dark,unmasked
102830238.jpg,"[743, 240, 204, 273]",14,Caucasian,20-30s,Neutral,Female,light,unmasked
102845105.jpg,"[1370, 996, 384, 336]",15,Mongoloid,20-30s,Surprise,Female,light,unmasked
102971485.jpg,"[1070, 318, 159, 209]",16,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
103111120.jpg,"[1137, 123, 225, 292]",17,Caucasian,20-30s,Happiness,Male,mid-dark,unmasked
10321732.jpg,"[579, 173, 169, 227]",18,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
103239424.jpg,"[504, 559, 197, 259]",19,Caucasian,20-30s,Neutral,Female,light,unmasked
103468042.jpg,"[754, 347, 598, 862]",20,Mongoloid,20-30s,Surprise,Female,dark,unmasked
103947689.jpg,"[1218, 312, 354, 476]",21,Caucasian,20-30s,Neutral,Female,light,unmasked
10398160.jpg,"[632, 341, 225, 318]",22,Caucasian,20-30s,Happiness,Female,light,unmasked
104047421.jpg,"[718, 141, 334, 441]",23,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
