,file_name,age,race,masked,skintone,emotion,gender
0,100013282.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
1,100016175.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
2,10004189.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
3,100104575.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
4,100104600.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
5,100118748.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
6,10012376.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
7,100127351.jpg,40-50s,Caucasian,unmasked,mid-light,Happiness,Female
8,10015832.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
9,10019527.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
10,100217868.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male
11,100234133.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
12,10024034.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
13,100275687.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
14,100290547.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
15,100332639.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
16,10035883.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
17,100364120.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male
18,100375438.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
19,100436471.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
20,100446006.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
21,100457349.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
22,100497714.jpg,40-50s,Caucasian,unmasked,light,Happiness,Female
23,100521368.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
24,100537938.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
25,100542719.jpg,Kid,Caucasian,unmasked,mid-dark,Neutral,Male
26,100616693.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
27,100618366.jpg,20-30s,Caucasian,unmasked,mid-light,Anger,Male
28,100620073.jpg,20-30s,Caucasian,unmasked,light,Surprise,Male
29,10062392.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
30,100689967.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
31,100736316.jpg,20-30s,Mongoloid,unmasked,mid-dark,Happiness,Male
32,10074864.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
33,10076105.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
34,10079415.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
35,100834752.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male
36,100867877.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
37,100891652.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
38,10097784.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
39,10097785.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
40,10097786.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
41,101013857.jpg,20-30s,Negroid,unmasked,mid-dark,Happiness,Female
42,101031644.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
43,10104198.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
44,101045841.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
45,101056763.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
46,101093778.jpg,Senior,Caucasian,unmasked,light,Anger,Male
47,101103861.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
48,101114983.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
49,10112033.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
50,101123852.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
51,101124001.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
52,10114066.jpg,20-30s,Mongoloid,masked,light,Neutral,Female
53,10115185.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
54,10115790.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
55,10116354.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
56,101178068.jpg,Senior,Caucasian,unmasked,mid-light,Happiness,Male
57,101224128.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
58,10122946.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
59,10123220.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
60,101237211.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
61,101262866.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
62,101272927.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
63,101346736.jpg,Kid,Mongoloid,unmasked,light,Fear,Male
64,10134924.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
65,101373807.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
66,101405065.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male
67,101405634.jpg,40-50s,Mongoloid,unmasked,light,Neutral,Male
68,10142697.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
69,101431471.jpg,Kid,Mongoloid,unmasked,light,Happiness,Male
70,10143752.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
71,10143789.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male
72,10144874.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male
73,10147100.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
74,10147101.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
75,10148253.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
76,10148487.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
77,101487603.jpg,20-30s,Mongoloid,unmasked,mid-light,Anger,Female
78,101498738.jpg,40-50s,Negroid,unmasked,mid-dark,Happiness,Female
79,101501347.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
80,10151153.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
81,10151517.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
82,10152563.jpg,20-30s,Mongoloid,masked,mid-light,Neutral,Male
83,101530595.jpg,Kid,Caucasian,unmasked,light,Neutral,Female
84,101533397.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
85,101557011.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
86,101558170.jpg,40-50s,Caucasian,unmasked,light,Happiness,Male
87,101590632.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
88,101649822.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
89,1016585.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
90,101671855.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
91,101677134.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
92,10168062.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
93,101694960.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female
94,101710664.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
95,101716479.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
96,101717017.jpg,20-30s,Mongoloid,unmasked,mid-dark,Happiness,Female
97,101718982.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
98,101781059.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
99,101819080.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
100,101835746.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
101,101835746_2.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
102,101835746_3.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
103,101835746_4.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
104,101835746_5.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
105,101835746_6.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
106,10184002.jpg,20-30s,Mongoloid,unmasked,light,Surprise,Female
107,101889210.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
108,101917223.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
109,101920313.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
110,101941115.jpg,Baby,Caucasian,unmasked,light,Neutral,Female
111,101957670.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Female
112,101965764.jpg,Kid,Caucasian,unmasked,mid-light,Happiness,Male
113,101974255.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
114,10201262.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
115,10201818.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
116,102037099.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male
117,102037099_2.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male
118,102037099_3.jpg,40-50s,Caucasian,unmasked,light,Fear,Male
119,102037099_4.jpg,40-50s,Caucasian,unmasked,light,Fear,Male
120,102037099_5.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male
121,102213101.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
122,102306996.jpg,Teenager,Mongoloid,unmasked,light,Happiness,Female
123,102361409.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Male
124,102366586.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
125,102458272.jpg,20-30s,Caucasian,unmasked,light,Anger,Male
126,102488244.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female
127,102489231.jpg,Senior,Caucasian,unmasked,mid-light,Happiness,Female
128,102567826.jpg,Senior,Caucasian,unmasked,light,Happiness,Male
129,102582250.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
130,10259920.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
131,10259947.jpg,20-30s,Mongoloid,unmasked,light,Sadness,Female
132,10261141.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
133,102630150.jpg,Senior,Caucasian,unmasked,light,Fear,Female
134,102672611.jpg,Kid,Negroid,unmasked,mid-light,Happiness,Female
135,102680198.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
136,102702080.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
137,102703056.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
138,102721895.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
139,102747326.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female
140,102776126.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
141,102799587.jpg,40-50s,Caucasian,unmasked,light,Happiness,Female
142,102800986.jpg,40-50s,Caucasian,unmasked,light,Happiness,Female
143,102801000.jpg,40-50s,Caucasian,unmasked,light,Neutral,Female
144,1028277.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female
145,102830900.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
146,10283777.jpg,Senior,Mongoloid,unmasked,light,Happiness,Female
147,10285931.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
148,10286029.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
149,102923768.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
150,10296509.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
151,103032323.jpg,Senior,Mongoloid,unmasked,mid-light,Neutral,Male
152,103037461.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
153,10305625.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
154,103059321.jpg,Kid,Negroid,unmasked,mid-light,Happiness,Female
155,103172293.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
156,103205080.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
157,103206497.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
158,103217572.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
159,103241757.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female
160,10330518.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
161,103329072.jpg,Senior,Mongoloid,unmasked,light,Neutral,Male
162,103370028.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
163,103376194.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
164,103437146.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
165,103437212.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
166,103438729.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
167,103440257.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male
168,103461815.jpg,Kid,Caucasian,unmasked,light,Sadness,Female
169,103500128.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
170,103530728.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
171,103549661.jpg,Kid,Caucasian,unmasked,light,Happiness,Male
172,103571822.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
173,103601702.jpg,Kid,Caucasian,unmasked,light,Sadness,Male
174,103632343.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
175,103639814.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Male
176,103674846.jpg,20-30s,Negroid,unmasked,dark,Happiness,Female
177,103743185.jpg,Baby,Mongoloid,unmasked,light,Happiness,Female
178,103815601.jpg,Kid,Mongoloid,unmasked,mid-light,Happiness,Female
179,103866562.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
180,103893107.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
181,103908584.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
182,103909904.jpg,Teenager,Caucasian,unmasked,mid-light,Neutral,Female
183,103911534.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
184,103996982.jpg,40-50s,Caucasian,unmasked,mid-dark,Happiness,Female
185,10399722.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
186,104003199.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
187,104013526.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
188,104015283.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
189,104046035.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
190,104046381.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
191,104046402.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
192,104079852.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female
193,104115297.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female
194,104119901.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
195,104132686.jpg,20-30s,Caucasian,unmasked,light,Sadness,Female
196,104169412.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
197,104176404.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
198,104202349.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
199,104204411.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
200,104217772.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
201,104242167.jpg,20-30s,Caucasian,unmasked,light,Surprise,Male
202,104242965.jpg,20-30s,Caucasian,unmasked,mid-light,Sadness,Female
203,104283158.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
204,104292087.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
205,104300120.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
206,104301021.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male
207,104301238.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
208,104328217.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
209,104339375.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
210,104342222.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
211,104345993.jpg,Kid,Caucasian,unmasked,light,Happiness,Female
212,104373525.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Male
213,104373537.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
214,104409683.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
215,104412423.jpg,20-30s,Negroid,unmasked,dark,Happiness,Male
216,104415446.jpg,Senior,Caucasian,unmasked,light,Happiness,Male
217,104418974.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
218,10442754.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
219,10443848.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
220,10444280.jpg,20-30s,Mongoloid,masked,light,Sadness,Male
221,104448513.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
222,104449006.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
223,104449117.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
224,104503034.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
225,104579367.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
226,10461820.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
227,10462043.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male
228,10464694.jpg,20-30s,Mongoloid,unmasked,light,Anger,Male
229,10465140.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
230,104651607.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
231,10469838.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
232,10470072.jpg,Teenager,Mongoloid,unmasked,light,Happiness,Female
233,104704511.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
234,104751475.jpg,Kid,Mongoloid,unmasked,light,Happiness,Female
235,10477683.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
236,104788140.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
237,104791514.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
238,104830744.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
239,104850331.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male
240,104854230.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
241,104880284.jpg,20-30s,Negroid,unmasked,dark,Happiness,Male
242,104883984.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female
243,10490610.jpg,20-30s,Mongoloid,unmasked,light,Sadness,Female
244,104909099.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
245,10492403.jpg,20-30s,Mongoloid,masked,light,Happiness,Female
246,104954814.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
247,104956218.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
248,104963320.jpg,Baby,Mongoloid,unmasked,light,Happiness,Female
249,1049638.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male
250,10499309.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
251,105010109.jpg,20-30s,Caucasian,unmasked,light,Fear,Female
252,10501434.jpg,20-30s,Mongoloid,masked,light,Sadness,Female
253,105024885.jpg,Kid,Caucasian,unmasked,light,Happiness,Female
254,105041782.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
255,105082014.jpg,20-30s,Negroid,masked,dark,Neutral,Female
256,105125598.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
257,10513561.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
258,10516477.jpg,Senior,Mongoloid,unmasked,mid-light,Happiness,Male
259,105204997.jpg,Kid,Caucasian,unmasked,mid-light,Happiness,Female
260,105204998.jpg,Kid,Caucasian,unmasked,light,Happiness,Female
261,105205245.jpg,Kid,Caucasian,unmasked,light,Neutral,Female
262,105205249.jpg,Kid,Caucasian,unmasked,light,Happiness,Female
263,105205260.jpg,Kid,Caucasian,unmasked,light,Happiness,Female
264,105272815.jpg,Senior,Caucasian,unmasked,light,Neutral,Male
265,10532673.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male
266,105338988.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
267,105406572.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
268,105474169.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
269,105485969.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
270,105497805.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
271,1055836.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male
272,105588974.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
273,105610542.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
274,10563412.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
275,105637372.jpg,20-30s,Negroid,unmasked,mid-light,Happiness,Female
276,105699843.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
277,105710709.jpg,20-30s,Negroid,unmasked,mid-dark,Neutral,Male
278,105711016.jpg,Teenager,Negroid,unmasked,mid-dark,Happiness,Male
279,105711109.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
280,105729227.jpg,20-30s,Mongoloid,masked,light,Neutral,Female
281,105767349.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
282,105769005.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
283,10577187.jpg,20-30s,Mongoloid,unmasked,mid-dark,Neutral,Female
284,1058244.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
285,105829185.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
286,105856960.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
287,105897995.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
288,105943829.jpg,20-30s,Negroid,unmasked,dark,Happiness,Female
289,105953521.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
290,105961718.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
291,105983772.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male
292,10599970.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
293,10602465.jpg,40-50s,Mongoloid,unmasked,light,Sadness,Male
294,10605067.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female
295,10605275.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
296,106063524.jpg,Kid,Caucasian,unmasked,light,Happiness,Male
297,106074618.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
298,106074618_2.jpg,40-50s,Caucasian,unmasked,light,Happiness,Female
299,106102984.jpg,Teenager,Negroid,unmasked,mid-dark,Happiness,Male
300,106103370.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
301,106123001.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
302,106142534.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
303,106173043.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
304,1062014.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
305,1062014_2.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
306,106204422.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male
307,106208713.jpg,20-30s,Negroid,unmasked,mid-dark,Neutral,Male
308,106237152.jpg,Teenager,Caucasian,unmasked,light,Neutral,Female
309,106312953.jpg,Kid,Mongoloid,unmasked,mid-light,Happiness,Female
310,106346950.jpg,Teenager,Mongoloid,unmasked,light,Neutral,Female
311,10635519.jpg,Senior,Mongoloid,unmasked,light,Neutral,Female
312,106367456.jpg,Teenager,Caucasian,unmasked,light,Neutral,Female
313,106371263.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
314,106389668.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
315,106412733.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
316,106425102.jpg,Teenager,Caucasian,unmasked,light,Happiness,Female
317,1064332.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
318,1064332_2.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
319,106448663.jpg,Baby,Caucasian,unmasked,light,Neutral,Male
320,10645387.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
