file_name,age,race,masked,skintone,emotion,gender,fold
44300506.jpg,40-50s,Mongoloid,unmasked,light,Neutral,Male,3
82163848.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
69747995.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
49574321.jpg,20-30s,Caucasian,unmasked,mid-dark,Happiness,Male,4
48571175.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
image_9633.jpg,40-50s,Negroid,unmasked,mid-dark,Happiness,Female,3
59187578.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,0
59784900.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,1
50071960.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,4
image_3816.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,2
13069823.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,4
75823999.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,3
54292162.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
40372002.jpg,40-50s,Caucasian,unmasked,light,Happiness,Male,0
5365921.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,1
89816536.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
71454865.jpg,Senior,Mongoloid,unmasked,mid-light,Neutral,Male,1
4730181.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
image_1985.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
10681945.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
37115121.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
71040633.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,4
54493631.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Male,2
5313853.jpg,20-30s,Mongoloid,unmasked,light,Fear,Female,3
71850619.jpg,Senior,Caucasian,unmasked,light,Happiness,Male,1
26483934.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,0
61057966.jpg,Teenager,Mongoloid,unmasked,light,Neutral,Female,3
68553951.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
9800751.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
2881350.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
image_6605.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,4
99637641.jpg,Teenager,Negroid,unmasked,mid-light,Happiness,Female,2
70469930.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
image_3450.jpg,Senior,Caucasian,unmasked,mid-light,Happiness,Male,3
59685443.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,1
85160656.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
10144874.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,2
78053874.jpg,40-50s,Caucasian,unmasked,light,Neutral,Female,4
