,file_name,age,race,masked,skintone,emotion,gender,fold
0,44300506.jpg,40-50s,Mongoloid,unmasked,light,Neutral,Male,3
1,69747995.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
2,49574321.jpg,20-30s,Caucasian,unmasked,mid-dark,Happiness,Male,4
3,48571175.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
4,image_9633.jpg,40-50s,Negroid,unmasked,mid-dark,Happiness,Female,3
5,59784900.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,1
6,50071960.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,4
7,image_3816.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,2
8,13069823.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,4
9,75823999.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,3
10,54292162.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
11,5365921.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,1
12,71454865.jpg,Senior,Mongoloid,unmasked,mid-light,Neutral,Male,1
13,4730181.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
14,image_1985.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
15,10681945.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
16,71040633.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,4
17,54493631.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Male,2
18,5313853.jpg,20-30s,Mongoloid,unmasked,light,Fear,Female,3
19,71850619.jpg,Senior,Caucasian,unmasked,light,Happiness,Male,1
20,61057966.jpg,Teenager,Mongoloid,unmasked,light,Neutral,Female,3
21,68553951.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
22,9800751.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
23,2881350.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
24,image_6605.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,4
25,99637641.jpg,Teenager,Negroid,unmasked,mid-light,Happiness,Female,2
26,image_3450.jpg,Senior,Caucasian,unmasked,mid-light,Happiness,Male,3
27,59685443.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,1
28,10144874.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,2
29,78053874.jpg,40-50s,Caucasian,unmasked,light,Neutral,Female,4
30,49996135.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
31,83519521.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
32,20243245.jpg,20-30s,Mongoloid,unmasked,light,Sadness,Female,4
33,13469454.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,1
34,50004269.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,2
35,96699029.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
36,42365184.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,2
37,98954380.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,1
38,84881661.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
39,image_462.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,4
40,62151113.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,3
41,76170000.jpg,20-30s,Mongoloid,unmasked,mid-dark,Neutral,Female,1
42,82421323.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male,4
43,65079856.jpg,20-30s,Mongoloid,unmasked,mid-light,Anger,Male,2
44,13396853.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
45,66697666.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
46,73474573.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
47,37044617.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
48,83797560.jpg,20-30s,Negroid,unmasked,mid-dark,Neutral,Female,2
49,76687736.jpg,20-30s,Negroid,unmasked,dark,Happiness,Female,1
50,68554343.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
51,42354261.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,4
52,81538737_5.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
53,image_2934.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,3
54,81603929.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,2
55,99935227.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
56,image_6613.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,1
57,image_4295.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
58,19730878.jpg,40-50s,Mongoloid,unmasked,mid-light,Neutral,Male,2
59,image_843.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
60,46561246.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
61,image_7351.jpg,Baby,Caucasian,unmasked,light,Happiness,Male,4
62,68170015.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,1
63,image_6774.jpg,20-30s,Caucasian,unmasked,light,Surprise,Male,2
64,67624287.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,3
65,70672317.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
66,image_8233.jpg,40-50s,Caucasian,unmasked,mid-light,Happiness,Male,1
67,11879549.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,4
68,48686456.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,2
69,62965378.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,3
70,37241574.jpg,20-30s,Mongoloid,unmasked,mid-dark,Happiness,Female,4
71,image_4705.jpg,Baby,Caucasian,unmasked,light,Neutral,Female,1
72,73660534.jpg,20-30s,Caucasian,unmasked,light,Sadness,Female,1
73,60845504.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,4
74,79449022.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,3
75,10477683.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
76,63987571.jpg,Senior,Caucasian,unmasked,mid-dark,Neutral,Male,2
77,99186234.jpg,20-30s,Negroid,unmasked,mid-dark,Happiness,Female,1
78,56738304.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
79,78959949.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
80,2983478.jpg,Teenager,Mongoloid,unmasked,light,Happiness,Male,3
81,30232672.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,4
82,image_3887.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
83,45561808.jpg,Kid,Caucasian,unmasked,light,Neutral,Male,2
84,63724839.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male,3
85,59001956.jpg,20-30s,Caucasian,unmasked,mid-light,Surprise,Male,4
86,85855959.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,2
87,image_4457.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,1
88,66835282.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
89,75756337.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,1
90,102703056.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
91,91965792.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,2
92,74786871.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,2
93,74802713_6.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,3
94,50004540.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,4
95,68241751.jpg,Teenager,Mongoloid,masked,mid-light,Happiness,Female,1
96,68158278.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,1
97,69623783.jpg,20-30s,Caucasian,unmasked,mid-dark,Happiness,Female,3
98,86969269.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,4
99,42197106.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Male,2
100,85407.jpg,Senior,Mongoloid,unmasked,mid-light,Happiness,Male,3
101,55764238.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,1
102,104132686.jpg,20-30s,Caucasian,unmasked,light,Sadness,Female,2
103,image_8687.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,4
