file_name,age,race,masked,skintone,emotion,gender,split
100013282.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male,-0.23917481819558759
100016175.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,1.258769995023737
10004189.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-2.129632218206913
100104575.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male,-2.136821915776532
100104600.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,1.493356418006643
100118748.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,2.30503842163793
10012376.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.8918026186701943
10015832.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.19587759424429177
10019527.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.2042272132207021
100217868.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,0.8198645118864633
100234133.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,-0.6744095327076195
10024034.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.0472202612544599
100275687.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male,1.2506864837821643
100290547.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male,-1.0822101723020947
10035883.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.783803858922842
100364120.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male,-0.45791058401383206
100375438.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,-1.2048031110924087
100457349.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,0.6848059658422977
100497714.jpg,40-50s,Caucasian,unmasked,light,Happiness,Female,0.7101741663665369
100521368.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1.677175645986183
100537938.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.028276843179999393
100542719.jpg,Kid,Caucasian,unmasked,mid-dark,Neutral,Male,0.4814950100235464
100616693.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.6921604415930673
100618366.jpg,20-30s,Caucasian,unmasked,mid-light,Anger,Male,-1.009150656242316
10062392.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.2125407621296833
100689967.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,-2.935730857627634
100736316.jpg,20-30s,Mongoloid,unmasked,mid-dark,Happiness,Male,1.1295133628096865
10074864.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.0436791223834243
10079415.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.0758040944665834
100834752.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,-1.0915476642537347
100867877.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,-1.9183744293866885
100891652.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male,1.2346965528533365
10097785.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,-0.8073997812265586
10097786.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,1.7718461632348892
101013857.jpg,20-30s,Negroid,unmasked,mid-dark,Happiness,Female,1.0747116519780076
101031644.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.38296804224709097
101056763.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,0.006868762187344946
101093778.jpg,Senior,Caucasian,unmasked,light,Anger,Male,-1.4760442476235736
101103861.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-1.5117491630393975
10112033.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,1.0314844155341674
101123852.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,0.06526722186900191
101124001.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.6691124783730049
10114066.jpg,20-30s,Mongoloid,masked,light,Neutral,Female,-0.9005936218277669
10115790.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.4070835692259412
10122946.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,0.576964625681912
101262866.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,0.4580553140704585
101346736.jpg,Kid,Mongoloid,unmasked,light,Fear,Male,-0.03082134054279432
10134924.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.1345983020089214
101405065.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,0.10454187628618691
101405634.jpg,40-50s,Mongoloid,unmasked,light,Neutral,Male,0.3188142008390983
101431471.jpg,Kid,Mongoloid,unmasked,light,Happiness,Male,0.07734337551305315
10143789.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,-1.063588411827056
10144874.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,-1.1561456158964032
10147100.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.9930500200560084
10148253.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.587396364045508
101498738.jpg,40-50s,Negroid,unmasked,mid-dark,Happiness,Female,0.9998161550125906
101501347.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male,-0.3819647758984823
10151153.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.5967286011665437
10151517.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.570215185540726
10152563.jpg,20-30s,Mongoloid,masked,mid-light,Neutral,Male,-1.105866645270765
101530595.jpg,Kid,Caucasian,unmasked,light,Neutral,Female,0.5266119059503904
101533397.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,-0.4527212676802904
101557011.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,0.24525512590805576
101558170.jpg,40-50s,Caucasian,unmasked,light,Happiness,Male,-1.148156704836816
101590632.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.9764677753346489
101649822.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.8250470620834058
1016585.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male,1.499402740007104
101677134.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,0.3671016608660009
10168062.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2.6970842507923676
101694960.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,-0.7402920487667422
101710664.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male,-0.25824432726564917
101716479.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.618654709623269
101717017.jpg,20-30s,Mongoloid,unmasked,mid-dark,Happiness,Female,-1.1563507191511437
101781059.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,-0.41763802718705356
101819080.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,0.6466096747329791
101835746_3.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1.7029901242834897
101835746_4.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.9596128561527639
101835746_6.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.8282144097068308
10184002.jpg,20-30s,Mongoloid,unmasked,light,Surprise,Female,-1.652699452802988
101917223.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.018186814287570952
101941115.jpg,Baby,Caucasian,unmasked,light,Neutral,Female,0.6044843972102973
101957670.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Female,0.02045533179794312
101965764.jpg,Kid,Caucasian,unmasked,mid-light,Happiness,Male,1.1122863394164717
101974255.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1.1854512352464346
10201818.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,-0.3095499283059892
102037099.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male,1.1030438696971288
102037099_2.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male,0.6861515616625654
102037099_3.jpg,40-50s,Caucasian,unmasked,light,Fear,Male,-0.20393477881774133
102037099_5.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male,0.5610315241114403
102361409.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Male,-0.5260621627267033
102366586.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.4851995123003423
102458272.jpg,20-30s,Caucasian,unmasked,light,Anger,Male,0.7435531202957179
102582250.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,-0.6192055350219646
10259947.jpg,20-30s,Mongoloid,unmasked,light,Sadness,Female,0.1330221581106285
10261141.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,0.2665382260516785
102672611.jpg,Kid,Negroid,unmasked,mid-light,Happiness,Female,1.6736245744473006
102680198.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.2487120959094807
102702080.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-2.6356502623463305
102703056.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1.788834206436226
